State,Republican Vote Percentage
Alabama,62.03%
Alaska,52.83%
Arizona,49.06%
Arkansas,62.40%
California,34.32%
Colorado,41.90%
Connecticut,39.19%
Delaware,39.77%
District of Columbia,5.40%
Florida,51.22%
Georgia,49.24%
Hawaii,34.27%
Idaho,63.84%
Illinois,40.55%
Indiana,57.03%
Iowa,53.09%
Kansas,56.14%
Kentucky,62.09%
Louisiana,58.46%
Maine,44.02%
Maryland,32.15%
Massachusetts,32.14%
Michigan,47.84%
Minnesota,45.28%
Mississippi,57.60%
Missouri,56.80%
Montana,56.92%
Nebraska,58.23%
Nevada,47.67%
New Hampshire,45.36%
New Jersey,41.40%
New Mexico,43.50%
New York,37.74%
North Carolina,49.93%
North Dakota,65.12%
Ohio,53.27%
Oklahoma,65.37%
Oregon,40.37%
Pennsylvania,48.84%
Rhode Island,38.61%
South Carolina,55.11%
South Dakota,61.77%
Tennessee,60.66%
Texas,52.06%
Utah,58.13%
Vermont,30.67%
Virginia,44.00%
Washington,38.77%
West Virginia,68.62%
Wisconsin,48.82%
Wyoming,69.94%
